Date,Inflow
01-01-90,47.4
02-01-90,34.45
03-01-90,33.52
04-01-90,30.79
05-01-90,28.4
06-01-90,30.43
07-01-90,36.25
08-01-90,26.34
09-01-90,25.8
10-01-90,23.68
11-01-90,24.26
12-01-90,28.36
13-01-90,25.91
14-01-90,21.15
15-01-90,23.85
16-01-90,25.2
17-01-90,22.89
18-01-90,24.77
19-01-90,22.62
20-01-90,20.12
21-01-90,13
22-01-90,21.08
23-01-90,19.93
24-01-90,26.09
25-01-90,30.12
26-01-90,43.13
27-01-90,66.32
28-01-90,65.53
29-01-90,57.42
30-01-90,83.21
31-01-90,115.13
01-02-90,97.78
02-02-90,136.55
03-02-90,94.64
04-02-90,65.75
05-02-90,57.56
06-02-90,68.48
07-02-90,55.62
08-02-90,80.58
09-02-90,63.58
10-02-90,58.37
11-02-90,54.03
12-02-90,72.48
13-02-90,62.87
14-02-90,56.67
15-02-90,45.19
16-02-90,43.68
17-02-90,37.52
18-02-90,37.86
19-02-90,46.57
20-02-90,41.13
21-02-90,41.76
22-02-90,37.82
23-02-90,33.87
24-02-90,32.3
25-02-90,36.59
26-02-90,33.26
27-02-90,34.05
28-02-90,29.65
01-03-90,25.02
02-03-90,23.82
03-03-90,19.75
04-03-90,26.13
05-03-90,18.76
06-03-90,16.01
07-03-90,19.27
08-03-90,24.61
09-03-90,24.57
10-03-90,20.97
11-03-90,14.77
12-03-90,16.74
13-03-90,20.46
14-03-90,20.29
15-03-90,17.87
16-03-90,16.49
17-03-90,14.08
18-03-90,8.36
19-03-90,16.52
20-03-90,15.1
21-03-90,14.06
22-03-90,13.74
23-03-90,12.83
24-03-90,12.86
25-03-90,7.64
26-03-90,10.97
27-03-90,9.87
28-03-90,10.03
29-03-90,11.4
30-03-90,6.92
31-03-90,8.5
01-04-90,9.78
02-04-90,11.82
03-04-90,17.35
04-04-90,13.19
05-04-90,15.91
06-04-90,16.48
07-04-90,8.28
08-04-90,4.41
09-04-90,2.48
10-04-90,1.02
11-04-90,4.23
12-04-90,2.33
13-04-90,2.84
14-04-90,4.06
15-04-90,4.02
16-04-90,8.56
17-04-90,16.12
18-04-90,15.03
19-04-90,13.25
20-04-90,14.26
21-04-90,18.67
22-04-90,19.24
23-04-90,18.03
24-04-90,16.3
25-04-90,15.52
26-04-90,13.46
27-04-90,10.95
28-04-90,11.84
29-04-90,12.55
30-04-90,12.78
01-05-90,14.46
