Date,Level
01-01-90,235.82
02-01-90,235.6
03-01-90,235.34
04-01-90,234.9
05-01-90,234.44
06-01-90,233.7
07-01-90,233.14
08-01-90,232.58
09-01-90,232.22
10-01-90,231.82
11-01-90,231.32
12-01-90,231.48
13-01-90,231.56
14-01-90,231.42
15-01-90,231.42
16-01-90,231.58
17-01-90,231.72
18-01-90,231.9
19-01-90,232.08
20-01-90,232.14
21-01-90,231.86
22-01-90,231.98
23-01-90,232.08
24-01-90,232.36
25-01-90,232.62
26-01-90,233.04
27-01-90,233.68
28-01-90,234.26
29-01-90,234.72
30-01-90,235.44
31-01-90,236.44
01-02-90,237.14
02-02-90,238.3
03-02-90,238.92
04-02-90,239.08
05-02-90,239.18
06-02-90,239.48
07-02-90,239.54
08-02-90,240.18
09-02-90,240.58
10-02-90,240.8
11-02-90,240.88
12-02-90,240.92
13-02-90,241.3
14-02-90,241.52
15-02-90,241.6
16-02-90,241.52
17-02-90,241.26
18-02-90,241.24
19-02-90,241.52
20-02-90,241.76
21-02-90,242
22-02-90,242.24
23-02-90,242.42
24-02-90,242.62
25-02-90,242.96
26-02-90,243.16
27-02-90,243.42
28-02-90,243.62
01-03-90,243.66
02-03-90,243.5
03-03-90,243.3
04-03-90,243.5
05-03-90,243.34
06-03-90,243.24
07-03-90,243.18
08-03-90,243.24
09-03-90,243.18
10-03-90,243.3
11-03-90,243.06
12-03-90,243.08
13-03-90,243.22
14-03-90,243.32
15-03-90,243.36
16-03-90,243.44
17-03-90,243.52
18-03-90,243.1
19-03-90,243.18
20-03-90,243.24
21-03-90,243.34
22-03-90,243.38
23-03-90,243.4
24-03-90,243.38
25-03-90,243.04
26-03-90,243.02
27-03-90,242.94
28-03-90,242.92
29-03-90,242.86
30-03-90,242.72
31-03-90,242.62
01-04-90,242.62
02-04-90,242.6
03-04-90,242.7
04-04-90,242.74
05-04-90,242.82
06-04-90,242.84
07-04-90,242.34
08-04-90,241.74
09-04-90,241.02
10-04-90,240.2
11-04-90,239.42
12-04-90,238.62
13-04-90,237.76
14-04-90,236.9
15-04-90,236.16
16-04-90,235.82
17-04-90,235.96
18-04-90,236.06
19-04-90,236.14
20-04-90,236.24
21-04-90,236.34
22-04-90,236.56
23-04-90,236.68
24-04-90,236.82
25-04-90,236.92
26-04-90,237
27-04-90,237.04
28-04-90,237.1
29-04-90,237.24
30-04-90,237.32
01-05-90,237.48
02-05-90,237.5
03-05-90,237.58
04-05-90,237.48
05-05-90,237.56
06-05-90,237.66
07-05-90,237.68
08-05-90,237.64
09-05-90,237.64
10-05-90,237.58
11-05-90,237.6
12-05-90,237.78
13-05-90,237.92
14-05-90,238
15-05-90,238.06
16-05-90,238.1
