Date,Outflow
01-01-90,33.75
02-01-90,53.19
03-01-90,55.49
04-01-90,67.48
05-01-90,66.16
06-01-90,89.83
07-01-90,80.13
08-01-90,69.3
09-01-90,52.93
10-01-90,53.39
11-01-90,60.75
12-01-90,16.76
13-01-90,20.08
14-01-90,31.34
15-01-90,23.85
16-01-90,13.56
17-01-90,12.65
18-01-90,11.51
19-01-90,9.26
20-01-90,15.65
21-01-90,33.78
22-01-90,12.2
23-01-90,12.5
24-01-90,5.13
25-01-90,10.46
26-01-90,10.95
27-01-90,16.29
28-01-90,19.14
29-01-90,19.92
30-01-90,23.24
31-01-90,29.24
01-02-90,35.85
02-02-90,30.58
03-02-90,36.27
04-02-90,50.5
05-02-90,47.99
06-02-90,39.56
07-02-90,49.8
08-02-90,17.8
09-02-90,23.67
10-02-90,36.21
11-02-90,45.94
12-02-90,68.42
13-02-90,24.07
14-02-90,33.98
15-02-90,36.91
16-02-90,51.96
17-02-90,64.31
18-02-90,39.91
19-02-90,17.73
20-02-90,16.22
21-02-90,16.64
22-02-90,12.53
23-02-90,14.77
24-02-90,10.96
25-02-90,0
26-02-90,11.57
27-02-90,5.64
28-02-90,7.65
01-03-90,20.61
02-03-90,41.45
03-03-90,41.68
04-03-90,4.2
05-03-90,36.32
06-03-90,26.94
07-03-90,25.81
08-03-90,18.07
09-03-90,31.11
10-03-90,7.88
11-03-90,40.9
12-03-90,14.56
13-03-90,5.23
14-03-90,9.38
15-03-90,13.5
16-03-90,7.72
17-03-90,5.28
18-03-90,54.27
19-03-90,7.83
20-03-90,8.56
21-03-90,3.13
22-03-90,9.35
23-03-90,10.64
24-03-90,15.05
25-03-90,44.7
26-03-90,13.14
27-03-90,18.53
28-03-90,12.2
29-03-90,17.87
30-03-90,21.99
31-03-90,19.22
01-04-90,9.78
02-04-90,13.96
03-04-90,6.64
04-04-90,8.89
05-04-90,7.31
06-04-90,14.33
07-04-90,61.75
08-04-90,67.49
09-04-90,76.62
10-04-90,83.43
11-04-90,80.61
12-04-90,78.67
13-04-90,82.67
14-04-90,81.59
15-04-90,68.92
16-04-90,37.81
17-04-90,4.12
18-04-90,6.42
19-04-90,6.34
20-04-90,5.59
21-04-90,9.98
22-04-90,0
23-04-90,7.48
24-04-90,3.93
25-04-90,6.65
26-04-90,6.34
27-04-90,7.37
28-04-90,6.48
29-04-90,0
30-04-90,5.58
01-05-90,0
02-05-90,8.34
03-05-90,3.29
04-05-90,15.68
05-05-90,1.83
06-05-90,0
07-05-90,6.06
08-05-90,8.85
