Date,Volume
01-01-90,140.79
02-01-90,139.18
03-01-90,137.28
04-01-90,134.11
05-01-90,130.84
06-01-90,125.71
07-01-90,121.92
08-01-90,118.21
09-01-90,115.87
10-01-90,113.3
11-01-90,110.15
12-01-90,111.15
13-01-90,111.65
14-01-90,110.77
15-01-90,110.77
16-01-90,111.78
17-01-90,112.66
18-01-90,113.81
19-01-90,114.96
20-01-90,115.35
21-01-90,113.55
22-01-90,114.32
23-01-90,114.96
24-01-90,116.77
25-01-90,118.47
26-01-90,121.25
27-01-90,125.58
28-01-90,129.58
29-01-90,132.82
30-01-90,138
31-01-90,145.43
01-02-90,150.78
02-02-90,159.93
03-02-90,164.98
04-02-90,166.29
05-02-90,167.12
06-02-90,169.62
07-02-90,170.12
08-02-90,175.55
09-02-90,179
10-02-90,180.91
11-02-90,181.61
12-02-90,181.96
13-02-90,185.31
14-02-90,187.27
15-02-90,187.99
16-02-90,187.27
17-02-90,184.96
18-02-90,184.78
19-02-90,187.27
20-02-90,189.42
21-02-90,191.59
22-02-90,193.78
23-02-90,195.43
24-02-90,197.27
25-02-90,200.43
26-02-90,202.31
27-02-90,204.76
28-02-90,206.66
01-03-90,207.05
02-03-90,205.52
03-03-90,203.63
04-03-90,205.52
05-03-90,204
06-03-90,203.06
07-03-90,202.5
08-03-90,203.06
09-03-90,202.5
10-03-90,203.63
11-03-90,201.37
12-03-90,201.56
13-03-90,202.87
14-03-90,203.82
15-03-90,204.19
16-03-90,204.95
17-03-90,205.71
18-03-90,201.75
19-03-90,202.5
20-03-90,203.06
21-03-90,204
22-03-90,204.38
23-03-90,204.57
24-03-90,204.38
25-03-90,201.18
26-03-90,201
27-03-90,200.25
28-03-90,200.06
29-03-90,199.5
30-03-90,198.2
31-03-90,197.27
01-04-90,197.27
02-04-90,197.09
03-04-90,198.01
04-04-90,198.38
05-04-90,199.13
06-04-90,199.31
07-04-90,194.69
08-04-90,189.24
09-04-90,182.84
10-04-90,175.72
11-04-90,169.12
12-04-90,162.52
13-04-90,155.63
14-04-90,148.93
15-04-90,143.32
16-04-90,140.79
17-04-90,141.83
18-04-90,142.58
19-04-90,143.17
20-04-90,143.92
21-04-90,144.67
22-04-90,146.33
23-04-90,147.25
24-04-90,148.31
25-04-90,149.08
26-04-90,149.7
27-04-90,150
28-04-90,150.47
29-04-90,151.55
30-04-90,152.17
01-05-90,153.42
02-05-90,153.58
03-05-90,154.21
04-05-90,153.42
05-05-90,154.05
06-05-90,154.84
07-05-90,154.99
08-05-90,154.68
09-05-90,154.68
10-05-90,154.21
11-05-90,154.37
12-05-90,155.78
13-05-90,156.89
14-05-90,157.53
15-05-90,158.01
16-05-90,158.33
17-05-90,158.33
18-05-90,158.49
19-05-90,158.17
20-05-90,158.97
21-05-90,159.13
22-05-90,159.29
23-05-90,158.81
24-05-90,158.81
25-05-90,158.65
26-05-90,158.17
27-05-90,158.81
28-05-90,158.81
29-05-90,157.85
30-05-90,155.15
31-05-90,152.64
01-06-90,152.95
02-06-90,153.11
03-06-90,153.11
04-06-90,151.24
05-06-90,151.09
06-06-90,149.39
07-06-90,147.25
08-06-90,145.28
09-06-90,141.83
10-06-90,139.32
11-06-90,135.11
12-06-90,130.56
13-06-90,130.71
14-06-90,131.27
15-06-90,131.69
16-06-90,132.12
17-06-90,132.54
18-06-90,132.97
19-06-90,133.39
20-06-90,133.96
21-06-90,134.39
22-06-90,134.82
23-06-90,135.25
24-06-90,135.69
25-06-90,136.26
26-06-90,136.7
27-06-90,136.99
28-06-90,137.57
29-06-90,138
30-06-90,138.44
01-07-90,138.74
02-07-90,139.18
03-07-90,139.47
04-07-90,139.76
05-07-90,140.2
06-07-90,140.5
07-07-90,140.79
08-07-90,141.09
09-07-90,141.24
10-07-90,141.53
11-07-90,140.06
12-07-90,140.06
13-07-90,140.35
14-07-90,139.76
15-07-90,140.06
16-07-90,139.03
17-07-90,137.71
18-07-90,137.13
19-07-90,136.12
20-07-90,135.83
21-07-90,135.11
22-07-90,135.4
23-07-90,134.11
24-07-90,132.97
25-07-90,131.83
26-07-90,131.41
27-07-90,130.99
28-07-90,130.56
29-07-90,130.71
30-07-90,130.28
31-07-90,130
01-08-90,129.44
02-08-90,129.03
03-08-90,128.75
04-08-90,128.47
05-08-90,128.61
06-08-90,128.05
07-08-90,127.64
08-08-90,127.36
09-08-90,126.95
10-08-90,126.12
11-08-90,125.85
12-08-90,125.71
13-08-90,124.89
14-08-90,124.62
15-08-90,124.35
16-08-90,123.94
17-08-90,123.54
18-08-90,123.13
19-08-90,122.86
20-08-90,122.59
21-08-90,122.19
22-08-90,121.65
23-08-90,121.25
24-08-90,120.45
25-08-90,119.92
26-08-90,119.79
27-08-90,116.38
28-08-90,116
29-08-90,115.74
30-08-90,115.35
31-08-90,114.71
01-09-90,114.45
02-09-90,114.06
03-09-90,113.3
04-09-90,112.16
05-09-90,111.27
06-09-90,110.65
07-09-90,110.27
08-09-90,110.02
09-09-90,110.02
