Date,Level
01-01-08,223.6
02-01-08,223.66
03-01-08,223.99
04-01-08,224.17
05-01-08,224.22
06-01-08,224.29
07-01-08,224.37
08-01-08,224.43
09-01-08,224.55
10-01-08,224.6
11-01-08,224.99
12-01-08,225.24
13-01-08,225.52
14-01-08,226.03
15-01-08,226.56
16-01-08,227.63
17-01-08,228.04
18-01-08,228.34
19-01-08,228.52
20-01-08,228.64
21-01-08,228.71
22-01-08,228.76
23-01-08,228.79
24-01-08,228.79
25-01-08,228.78
26-01-08,228.76
27-01-08,228.72
28-01-08,228.68
29-01-08,228.63
30-01-08,228.57
31-01-08,228.5
01-02-08,228.47
02-02-08,228.51
03-02-08,228.56
04-02-08,228.79
05-02-08,228.87
06-02-08,228.91
07-02-08,228.92
08-02-08,228.92
09-02-08,228.9
10-02-08,228.87
11-02-08,228.83
12-02-08,228.78
13-02-08,228.73
14-02-08,228.66
15-02-08,228.59
16-02-08,228.52
17-02-08,228.44
18-02-08,228.35
19-02-08,228.28
20-02-08,228.24
21-02-08,228.19
22-02-08,228.11
23-02-08,228.02
24-02-08,227.94
25-02-08,227.86
26-02-08,227.77
27-02-08,227.71
28-02-08,227.73
29-02-08,227.68
01-03-08,227.68
02-03-08,227.66
03-03-08,227.64
04-03-08,227.61
05-03-08,227.57
06-03-08,227.53
07-03-08,227.47
08-03-08,227.42
09-03-08,227.39
10-03-08,227.41
11-03-08,227.42
12-03-08,227.42
13-03-08,227.4
14-03-08,227.37
15-03-08,227.36
16-03-08,227.36
17-03-08,227.36
18-03-08,227.39
19-03-08,227.41
20-03-08,227.4
21-03-08,227.37
22-03-08,227.43
23-03-08,227.52
24-03-08,227.62
25-03-08,227.72
26-03-08,227.89
27-03-08,228.41
28-03-08,228.83
29-03-08,229.08
30-03-08,229.42
31-03-08,229.72
01-04-08,229.97
02-04-08,230.18
03-04-08,230.35
04-04-08,230.49
05-04-08,230.62
06-04-08,230.72
07-04-08,230.83
08-04-08,230.98
09-04-08,231.84
10-04-08,232.69
11-04-08,233.18
12-04-08,233.55
13-04-08,233.94
14-04-08,234.3
15-04-08,234.57
16-04-08,234.82
18-04-08,235.91
19-04-08,236.64
20-04-08,237.34
21-04-08,238.35
22-04-08,239.02
23-04-08,239.69
24-04-08,240.14
25-04-08,240.51
26-04-08,240.82
27-04-08,241.08
28-04-08,241.33
29-04-08,241.56
30-04-08,241.83
01-05-08,242.05
02-05-08,242.24
03-05-08,242.4
04-05-08,242.55
05-05-08,242.68
06-05-08,242.8
07-05-08,242.88
08-05-08,242.97
09-05-08,243.25
10-05-08,243.42
11-05-08,243.58
12-05-08,243.71
13-05-08,243.83
14-05-08,243.96
15-05-08,244.14
16-05-08,244.29
17-05-08,244.43
18-05-08,244.57
19-05-08,244.73
20-05-08,244.83
21-05-08,244.91
22-05-08,245.03
23-05-08,245.36
24-05-08,245.62
25-05-08,245.78
26-05-08,245.7
27-05-08,245.7
28-05-08,245.65
29-05-08,245.66
30-05-08,245.67
31-05-08,245.61
01-06-08,245.52
02-06-08,245.39
03-06-08,245.25
04-06-08,245.33
05-06-08,245.2
06-06-08,245.28
07-06-08,245.34
08-06-08,245.39
09-06-08,245.43
10-06-08,245.42
11-06-08,245.38
12-06-08,245.33
13-06-08,245.26
14-06-08,245.19
15-06-08,245.13
16-06-08,245.11
17-06-08,245.13
18-06-08,245.13
19-06-08,245.12
20-06-08,245.1
21-06-08,245.08
22-06-08,245.05
23-06-08,245.01
24-06-08,244.97
25-06-08,244.93
26-06-08,244.88
27-06-08,244.83
28-06-08,244.77
29-06-08,244.71
30-06-08,244.65
01-07-08,244.58
02-07-08,244.52
03-07-08,244.45
04-07-08,244.38
05-07-08,244.31
06-07-08,244.24
07-07-08,244.17
08-07-08,244.09
09-07-08,244.01
10-07-08,243.94
11-07-08,243.86
12-07-08,243.79
13-07-08,243.7
14-07-08,243.62
15-07-08,243.52
16-07-08,243.43
17-07-08,243.33
20-07-08,243.02
21-07-08,242.91
22-07-08,242.8
23-07-08,242.69
24-07-08,242.58
25-07-08,242.48
26-07-08,242.37
27-07-08,242.26
28-07-08,242.15
29-07-08,242.03
30-07-08,241.91
31-07-08,241.8
01-08-08,241.68
02-08-08,241.56
03-08-08,241.44
04-08-08,241.32
05-08-08,241.19
06-08-08,241.07
07-08-08,240.94
08-08-08,240.81
