SERIE_INITIAL_DATA      : 2008 1 1 00 00 00
TIME_UNITS              : DAYS  
days inflow property  
<BeginTimeSerie>   
0 0.5 100
1 0.5 100
2 0.5 100
3 0.5 100
4 0.5 100
5 0.5 100
6 0.5 100
7 0.5 100
8 0.5 100
9 0.5 100
10 0.5 100
11 0.5 100
12 0.5 100
13 0.5 100
14 0.5 100
15 0.5 100
16 0.5 100
17 0.5 100
18 0.5 100
19 0.5 100
20 0.5 100
21 0.5 100
22 0.5 100
23 0.5 100
24 0.5 100
25 0.5 100
26 0.5 100
27 0.5 100
28 0.5 100
29 0.5 100
30 0.5 100
31 0.5 100
32 0.5 100
33 0.5 100
34 0.5 100
35 0.5 100
36 0.5 100
37 0.5 100
38 0.5 100
39 0.5 100
40 0.5 100
41 0.5 100
42 0.5 100
43 0.5 100
44 0.5 100
45 0.5 100
46 0.5 100
47 0.5 100
48 0.5 100
49 0.5 100
50 0.5 100
51 0.5 100
52 0.5 100
53 0.5 100
54 0.5 100
55 0.5 100
56 0.5 100
57 0.5 100
58 0.5 100
59 0.5 100
60 0.5 100
61 0.5 100
62 0.5 100
63 0.5 100
64 0.5 100
65 0.5 100
66 0.5 100
67 0.5 100
68 0.5 100
69 0.5 100
70 0.5 100
71 0.5 100
72 0.5 100
73 0.5 100
74 0.5 100
75 0.5 100
76 0.5 100
77 0.5 100
78 0.5 100
79 0.5 100
80 0.5 100
81 0.5 100
82 0.5 100
83 0.5 100
84 0.5 100
85 0.5 100
86 0.5 100
87 0.5 100
88 0.5 100
89 0.5 100
90 0.5 100
91 0.5 100
92 0.5 100
93 0.5 100
94 0.5 100
95 0.5 100
96 0.5 100
97 0.5 100
98 0.5 100
99 0.5 100
100 0.5 100
101 0.5 100
102 0.5 100
103 0.5 100
104 0.5 100
105 0.5 100
106 0.5 100
107 0.5 100
108 0.5 100
109 0.5 100
110 0.5 100
111 0.5 100
112 0.5 100
113 0.5 100
114 0.5 100
115 0.5 100
116 0.5 100
117 0.5 100
118 0.5 100
119 0.5 100
120 0.5 100
121 0.5 100
122 0.5 100
123 0.5 100
124 0.5 100
125 0.5 100
126 0.5 100
127 0.5 100
128 0.5 100
129 0.5 100
130 0.5 100
131 0.5 100
132 0.5 100
133 0.5 100
134 0.5 100
135 0.5 100
136 0.5 100
137 0.5 100
138 0.5 100
139 0.5 100
140 0.5 100
141 0.5 100
142 0.5 100
143 0.5 100
144 0.5 100
145 0.5 100
146 0.5 100
147 0.5 100
148 0.5 100
149 0.5 100
150 0.5 100
151 0.5 100
152 0.5 100
153 0.5 100
154 0.5 100
155 0.5 100
156 0.5 100
157 0.5 100
158 0.5 100
159 0.5 100
160 0.5 100
161 0.5 100
162 0.5 100
163 0.5 100
164 0.5 100
165 0.5 100
166 0.5 100
167 0.5 100
168 0.5 100
169 0.5 100
170 0.5 100
171 0.5 100
172 0.5 100
173 0.5 100
174 0.5 100
175 0.5 100
176 0.5 100
177 0.5 100
178 0.5 100
179 0.5 100
180 0.5 100
181 0.5 100
182 0.5 100
183 0.5 100
184 0.5 100
185 0.5 100
186 0.5 100
187 0.5 100
188 0.5 100
189 0.5 100
190 0.5 100
191 0.5 100
192 0.5 100
193 0.5 100
194 0.5 100
195 0.5 100
196 0.5 100
197 0.5 100
198 0.5 100
199 0.5 100
200 0.5 100
201 0.5 100
202 0.5 100
203 0.5 100
204 0.5 100
205 0.5 100
206 0.5 100
207 0.5 100
208 0.5 100
209 0.5 100
210 0.5 100
211 0.5 100
212 0.5 100
213 0.5 100
214 0.5 100
215 0.5 100
216 0.5 100
217 0.5 100
218 0.5 100
219 0.5 100
220 0.5 100
221 0.5 100
222 0.5 100
223 0.5 100
224 0.5 100
225 0.5 100
226 0.5 100
227 0.5 100
228 0.5 100
229 0.5 100
230 0.5 100
231 0.5 100
232 0.5 100
233 0.5 100
234 0.5 100
235 0.5 100
236 0.5 100
237 0.5 100
238 0.5 100
239 0.5 100
240 0.5 100
241 0.5 100
242 0.5 100
243 0.5 100
244 0.5 100
245 0.5 100
246 0.5 100
247 0.5 100
248 0.5 100
249 0.5 100
250 0.5 100
251 0.5 100
252 0.5 100
253 0.5 100
254 0.5 100
255 0.5 100
256 0.5 100
257 0.5 100
258 0.5 100
259 0.5 100
260 0.5 100
261 0.5 100
262 0.5 100
263 0.5 100
264 0.5 100
265 0.5 100
266 0.5 100
267 0.5 100
268 0.5 100
269 0.5 100
270 0.5 100
271 0.5 100
272 0.5 100
273 0.5 100
274 0.5 100
275 0.5 100
276 0.5 100
277 0.5 100
278 0.5 100
279 0.5 100
280 0.5 100
281 0.5 100
282 0.5 100
283 0.5 100
284 0.5 100
285 0.5 100
286 0.5 100
287 0.5 100
288 0.5 100
289 0.5 100
290 0.5 100
291 0.5 100
292 0.5 100
293 0.5 100
294 0.5 100
295 0.5 100
296 0.5 100
297 0.5 100
298 0.5 100
299 0.5 100
300 0.5 100
301 0.5 100
302 0.5 100
303 0.5 100
304 0.5 100
305 0.5 100
306 0.5 100
307 0.5 100
308 0.5 100
309 0.5 100
310 0.5 100
311 0.5 100
312 0.5 100
313 0.5 100
314 0.5 100
315 0.5 100
316 0.5 100
317 0.5 100
318 0.5 100
319 0.5 100
320 0.5 100
321 0.5 100
322 0.5 100
323 0.5 100
324 0.5 100
325 0.5 100
326 0.5 100
327 0.5 100
328 0.5 100
329 0.5 100
330 0.5 100
331 0.5 100
332 0.5 100
333 0.5 100
334 0.5 100
335 0.5 100
336 0.5 100
337 0.5 100
338 0.5 100
339 0.5 100
340 0.5 100
341 0.5 100
342 0.5 100
343 0.5 100
344 0.5 100
345 0.5 100
346 0.5 100
347 0.5 100
348 0.5 100
349 0.5 100
350 0.5 100
351 0.5 100
352 0.5 100
353 0.5 100
354 0.5 100
355 0.5 100
356 0.5 100
357 0.5 100
358 0.5 100
359 0.5 100
360 0.5 100
361 0.5 100
362 0.5 100
363 0.5 100
364 0.5 100
365 0.5 100
366 0.5 100
367 0.5 100
368 0.5 100
369 0.5 100
370 0.5 100
371 0.5 100
372 0.5 100
373 0.5 100
374 0.5 100
375 0.5 100
376 0.5 100
377 0.5 100
378 0.5 100
379 0.5 100
380 0.5 100
381 0.5 100
382 0.5 100
383 0.5 100
384 0.5 100
385 0.5 100
386 0.5 100
387 0.5 100
388 0.5 100
389 0.5 100
390 0.5 100
391 0.5 100
392 0.5 100
393 0.5 100
394 0.5 100
395 0.5 100
396 0.5 100
397 0.5 100
398 0.5 100
399 0.5 100
400 0.5 100
401 0.5 100
402 0.5 100
403 0.5 100
404 0.5 100
405 0.5 100
406 0.5 100
407 0.5 100
408 0.5 100
409 0.5 100
410 0.5 100
411 0.5 100
412 0.5 100
413 0.5 100
414 0.5 100
415 0.5 100
416 0.5 100
417 0.5 100
418 0.5 100
419 0.5 100
420 0.5 100
421 0.5 100
422 0.5 100
423 0.5 100
424 0.5 100
425 0.5 100
426 0.5 100
427 0.5 100
428 0.5 100
429 0.5 100
430 0.5 100
431 0.5 100
432 0.5 100
433 0.5 100
434 0.5 100
435 0.5 100
436 0.5 100
437 0.5 100
438 0.5 100
439 0.5 100
440 0.5 100
441 0.5 100
442 0.5 100
443 0.5 100
444 0.5 100
445 0.5 100
446 0.5 100
447 0.5 100
448 0.5 100
449 0.5 100
450 0.5 100
451 0.5 100
452 0.5 100
453 0.5 100
454 0.5 100
455 0.5 100
456 0.5 100
457 0.5 100
458 0.5 100
459 0.5 100
460 0.5 100
461 0.5 100
462 0.5 100
463 0.5 100
464 0.5 100
465 0.5 100
466 0.5 100
467 0.5 100
468 0.5 100
469 0.5 100
470 0.5 100
471 0.5 100
472 0.5 100
473 0.5 100
474 0.5 100
475 0.5 100
476 0.5 100
477 0.5 100
478 0.5 100
479 0.5 100
480 0.5 100
481 0.5 100
482 0.5 100
483 0.5 100
484 0.5 100
485 0.5 100
486 0.5 100
487 0.5 100
488 0.5 100
489 0.5 100
490 0.5 100
491 0.5 100
492 0.5 100
493 0.5 100
494 0.5 100
495 0.5 100
496 0.5 100
497 0.5 100
498 0.5 100
499 0.5 100
500 0.5 100
501 0.5 100
502 0.5 100
503 0.5 100
504 0.5 100
505 0.5 100
506 0.5 100
507 0.5 100
508 0.5 100
509 0.5 100
510 0.5 100
511 0.5 100
512 0.5 100
513 0.5 100
514 0.5 100
515 0.5 100
516 0.5 100
517 0.5 100
518 0.5 100
519 0.5 100
520 0.5 100
521 0.5 100
522 0.5 100
523 0.5 100
524 0.5 100
525 0.5 100
526 0.5 100
527 0.5 100
528 0.5 100
529 0.5 100
530 0.5 100
531 0.5 100
532 0.5 100
533 0.5 100
534 0.5 100
535 0.5 100
536 0.5 100
537 0.5 100
538 0.5 100
539 0.5 100
540 0.5 100
541 0.5 100
542 0.5 100
543 0.5 100
544 0.5 100
545 0.5 100
546 0.5 100
547 0.5 100
548 0.5 100
549 0.5 100
550 0.5 100
551 0.5 100
552 0.5 100
553 0.5 100
554 0.5 100
555 0.5 100
556 0.5 100
557 0.5 100
558 0.5 100
559 0.5 100
560 0.5 100
561 0.5 100
562 0.5 100
563 0.5 100
564 0.5 100
565 0.5 100
566 0.5 100
567 0.5 100
568 0.5 100
569 0.5 100
570 0.5 100
571 0.5 100
572 0.5 100
573 0.5 100
574 0.5 100
575 0.5 100
576 0.5 100
577 0.5 100
578 0.5 100
579 0.5 100
580 0.5 100
581 0.5 100
582 0.5 100
583 0.5 100
584 0.5 100
585 0.5 100
586 0.5 100
587 0.5 100
588 0.5 100
589 0.5 100
590 0.5 100
591 0.5 100
592 0.5 100
593 0.5 100
594 0.5 100
595 0.5 100
596 0.5 100
597 0.5 100
598 0.5 100
599 0.5 100
600 0.5 100
601 0.5 100
602 0.5 100
603 0.5 100
604 0.5 100
605 0.5 100
606 0.5 100
607 0.5 100
608 0.5 100
609 0.5 100
610 0.5 100
611 0.5 100
612 0.5 100
613 0.5 100
614 0.5 100
615 0.5 100
616 0.5 100
617 0.5 100
618 0.5 100
619 0.5 100
620 0.5 100
621 0.5 100
622 0.5 100
623 0.5 100
624 0.5 100
625 0.5 100
626 0.5 100
627 0.5 100
628 0.5 100
629 0.5 100
630 0.5 100
631 0.5 100
632 0.5 100
633 0.5 100
634 0.5 100
635 0.5 100
636 0.5 100
637 0.5 100
638 0.5 100
639 0.5 100
640 0.5 100
641 0.5 100
642 0.5 100
643 0.5 100
644 0.5 100
645 0.5 100
646 0.5 100
647 0.5 100
648 0.5 100
649 0.5 100
650 0.5 100
651 0.5 100
652 0.5 100
653 0.5 100
654 0.5 100
655 0.5 100
656 0.5 100
657 0.5 100
658 0.5 100
659 0.5 100
660 0.5 100
661 0.5 100
662 0.5 100
663 0.5 100
664 0.5 100
665 0.5 100
666 0.5 100
667 0.5 100
668 0.5 100
669 0.5 100
670 0.5 100
671 0.5 100
672 0.5 100
673 0.5 100
674 0.5 100
675 0.5 100
676 0.5 100
677 0.5 100
678 0.5 100
679 0.5 100
680 0.5 100
681 0.5 100
682 0.5 100
683 0.5 100
684 0.5 100
685 0.5 100
686 0.5 100
687 0.5 100
688 0.5 100
689 0.5 100
690 0.5 100
691 0.5 100
692 0.5 100
693 0.5 100
694 0.5 100
695 0.5 100
696 0.5 100
697 0.5 100
698 0.5 100
699 0.5 100
700 0.5 100
701 0.5 100
702 0.5 100
703 0.5 100
704 0.5 100
705 0.5 100
706 0.5 100
707 0.5 100
708 0.5 100
709 0.5 100
710 0.5 100
711 0.5 100
712 0.5 100
713 0.5 100
714 0.5 100
715 0.5 100
716 0.5 100
717 0.5 100
718 0.5 100
719 0.5 100
720 0.5 100
721 0.5 100
722 0.5 100
723 0.5 100
724 0.5 100
725 0.5 100
726 0.5 100
727 0.5 100
728 0.5 100
729 0.5 100
730 0.5 100
731 0.5 100
732 0.5 100
733 0.5 100
734 0.5 100
735 0.5 100
736 0.5 100
737 0.5 100
738 0.5 100
739 0.5 100
740 0.5 100
741 0.5 100
742 0.5 100
743 0.5 100
744 0.5 100
745 0.5 100
746 0.5 100
747 0.5 100
748 0.5 100
749 0.5 100
750 0.5 100
751 0.5 100
752 0.5 100
753 0.5 100
754 0.5 100
755 0.5 100
756 0.5 100
757 0.5 100
758 0.5 100
759 0.5 100
760 0.5 100
761 0.5 100
762 0.5 100
763 0.5 100
764 0.5 100
765 0.5 100
766 0.5 100
767 0.5 100
768 0.5 100
769 0.5 100
770 0.5 100
771 0.5 100
772 0.5 100
773 0.5 100
774 0.5 100
775 0.5 100
776 0.5 100
777 0.5 100
778 0.5 100
779 0.5 100
780 0.5 100
781 0.5 100
782 0.5 100
783 0.5 100
784 0.5 100
785 0.5 100
786 0.5 100
787 0.5 100
788 0.5 100
789 0.5 100
790 0.5 100
791 0.5 100
792 0.5 100
793 0.5 100
794 0.5 100
795 0.5 100
796 0.5 100
797 0.5 100
798 0.5 100
799 0.5 100
800 0.5 100
801 0.5 100
802 0.5 100
803 0.5 100
804 0.5 100
805 0.5 100
806 0.5 100
807 0.5 100
808 0.5 100
809 0.5 100
810 0.5 100
811 0.5 100
812 0.5 100
813 0.5 100
814 0.5 100
815 0.5 100
816 0.5 100
817 0.5 100
818 0.5 100
819 0.5 100
820 0.5 100
821 0.5 100
822 0.5 100
823 0.5 100
824 0.5 100
825 0.5 100
826 0.5 100
827 0.5 100
828 0.5 100
829 0.5 100
830 0.5 100
831 0.5 100
832 0.5 100
833 0.5 100
834 0.5 100
835 0.5 100
836 0.5 100
